state,state_long,county,fips_state,fips_county
al,alabama,autauga,1,1
al,alabama,baldwin,1,3
al,alabama,barbour,1,5
al,alabama,bibb,1,7
al,alabama,blount,1,9
al,alabama,bullock,1,11
al,alabama,butler,1,13
al,alabama,calhoun,1,15
al,alabama,chambers,1,17
al,alabama,cherokee,1,19
al,alabama,chilton,1,21
al,alabama,choctaw,1,23
al,alabama,clarke,1,25
al,alabama,clay,1,27
al,alabama,cleburne,1,29
al,alabama,coffee,1,31
al,alabama,colbert,1,33
al,alabama,conecuh,1,35
al,alabama,coosa,1,37
al,alabama,covington,1,39
al,alabama,crenshaw,1,41
al,alabama,cullman,1,43
al,alabama,dale,1,45
al,alabama,dallas,1,47
al,alabama,de kalb,1,49
al,alabama,elmore,1,51
al,alabama,escambia,1,53
al,alabama,etowah,1,55
al,alabama,fayette,1,57
al,alabama,franklin,1,59
al,alabama,geneva,1,61
al,alabama,greene,1,63
al,alabama,hale,1,65
al,alabama,henry,1,67
al,alabama,houston,1,69
al,alabama,jackson,1,71
al,alabama,jefferson,1,73
al,alabama,lamar,1,75
al,alabama,lauderdale,1,77
al,alabama,lawrence,1,79
al,alabama,lee,1,81
al,alabama,limestone,1,83
al,alabama,lowndes,1,85
al,alabama,macon,1,87
al,alabama,madison,1,89
al,alabama,marengo,1,91
al,alabama,marion,1,93
al,alabama,marshall,1,95
al,alabama,mobile,1,97
al,alabama,monroe,1,99
al,alabama,montgomery,1,101
al,alabama,morgan,1,103
al,alabama,perry,1,105
al,alabama,pickens,1,107
al,alabama,pike,1,109
al,alabama,randolph,1,111
al,alabama,russell,1,113
al,alabama,st clair,1,115
al,alabama,shelby,1,117
al,alabama,sumter,1,119
al,alabama,talladega,1,121
al,alabama,tallapoosa,1,123
al,alabama,tuscaloosa,1,125
al,alabama,walker,1,127
al,alabama,washington,1,129
al,alabama,wilcox,1,131
al,alabama,winston,1,133
ak,alaska,aleutians east,2,13
ak,alaska,aleutians west,2,16
ak,alaska,anchorage,2,20
ak,alaska,bethel,2,50
ak,alaska,bristol bay,2,60
ak,alaska,denali,2,68
ak,alaska,dillingham,2,70
ak,alaska,fairbanks north star,2,90
ak,alaska,haines,2,100
ak,alaska,juneau,2,110
ak,alaska,kenai peninsula,2,122
ak,alaska,ketchikan gateway,2,130
ak,alaska,kodiak island,2,150
ak,alaska,lake and peninsula,2,164
ak,alaska,matanuska susitna,2,170
ak,alaska,nome,2,180
ak,alaska,north slope,2,185
ak,alaska,northwest arctic,2,188
ak,alaska,prince wales ketchikan,2,201
ak,alaska,sitka,2,220
ak,alaska,skagway hoonah angoon,2,232
ak,alaska,southeast fairbanks,2,240
ak,alaska,valdez cordova,2,261
ak,alaska,wade hampton,2,270
ak,alaska,wrangell petersburg,2,280
ak,alaska,yakutat,2,282
ak,alaska,yukon koyukuk,2,290
az,arizona,apache,4,1
az,arizona,cochise,4,3
az,arizona,coconino,4,5
az,arizona,gila,4,7
az,arizona,graham,4,9
az,arizona,greenlee,4,11
az,arizona,la paz,4,12
az,arizona,maricopa,4,13
az,arizona,mohave,4,15
az,arizona,navajo,4,17
az,arizona,pima,4,19
az,arizona,pinal,4,21
az,arizona,santa cruz,4,23
az,arizona,yavapai,4,25
az,arizona,yuma,4,27
ar,arkansas,arkansas,5,1
ar,arkansas,ashley,5,3
ar,arkansas,baxter,5,5
ar,arkansas,benton,5,7
ar,arkansas,boone,5,9
ar,arkansas,bradley,5,11
ar,arkansas,calhoun,5,13
ar,arkansas,carroll,5,15
ar,arkansas,chicot,5,17
ar,arkansas,clark,5,19
ar,arkansas,clay,5,21
ar,arkansas,cleburne,5,23
ar,arkansas,cleveland,5,25
ar,arkansas,columbia,5,27
ar,arkansas,conway,5,29
ar,arkansas,craighead,5,31
ar,arkansas,crawford,5,33
ar,arkansas,crittenden,5,35
ar,arkansas,cross,5,37
ar,arkansas,dallas,5,39
ar,arkansas,desha,5,41
ar,arkansas,drew,5,43
ar,arkansas,faulkner,5,45
ar,arkansas,franklin,5,47
ar,arkansas,fulton,5,49
ar,arkansas,garland,5,51
ar,arkansas,grant,5,53
ar,arkansas,greene,5,55
ar,arkansas,hempstead,5,57
ar,arkansas,hot spring,5,59
ar,arkansas,howard,5,61
ar,arkansas,independence,5,63
ar,arkansas,izard,5,65
ar,arkansas,jackson,5,67
ar,arkansas,jefferson,5,69
ar,arkansas,johnson,5,71
ar,arkansas,lafayette,5,73
ar,arkansas,lawrence,5,75
ar,arkansas,lee,5,77
ar,arkansas,lincoln,5,79
ar,arkansas,little river,5,81
ar,arkansas,logan,5,83
ar,arkansas,lonoke,5,85
ar,arkansas,madison,5,87
ar,arkansas,marion,5,89
ar,arkansas,miller,5,91
ar,arkansas,mississippi,5,93
ar,arkansas,monroe,5,95
ar,arkansas,nevada,5,99
ar,arkansas,newton,5,101
ar,arkansas,ouachita,5,103
ar,arkansas,perry,5,105
ar,arkansas,phillips,5,107
ar,arkansas,pike,5,109
ar,arkansas,poinsett,5,111
ar,arkansas,polk,5,113
ar,arkansas,pope,5,115
ar,arkansas,prairie,5,117
ar,arkansas,pulaski,5,119
ar,arkansas,randolph,5,121
ar,arkansas,st francis,5,123
ar,arkansas,saline,5,125
ar,arkansas,scott,5,127
ar,arkansas,searcy,5,129
ar,arkansas,sebastian,5,131
ar,arkansas,sevier,5,133
ar,arkansas,sharp,5,135
ar,arkansas,stone,5,137
ar,arkansas,union,5,139
ar,arkansas,van buren,5,141
ar,arkansas,washington,5,143
ar,arkansas,white,5,145
ar,arkansas,woodruff,5,147
ar,arkansas,yell,5,149
ca,california,alameda,6,1
ca,california,alpine,6,3
ca,california,amador,6,5
ca,california,butte,6,7
ca,california,calaveras,6,9
ca,california,colusa,6,11
ca,california,contra costa,6,13
ca,california,del norte,6,15
ca,california,el dorado,6,17
ca,california,fresno,6,19
ca,california,glenn,6,21
ca,california,humboldt,6,23
ca,california,imperial,6,25
ca,california,inyo,6,27
ca,california,kern,6,29
ca,california,kings,6,31
ca,california,lake,6,33
ca,california,lassen,6,35
ca,california,los angeles,6,37
ca,california,madera,6,39
ca,california,marin,6,41
ca,california,mariposa,6,43
ca,california,mendocino,6,45
ca,california,merced,6,47
ca,california,modoc,6,49
ca,california,mono,6,51
ca,california,monterey,6,53
ca,california,napa,6,55
ca,california,nevada,6,57
ca,california,orange,6,59
ca,california,placer,6,61
ca,california,plumas,6,63
ca,california,riverside,6,65
ca,california,sacramento,6,67
ca,california,san benito,6,69
ca,california,san bernardino,6,71
ca,california,san diego,6,73
ca,california,san francisco,6,75
ca,california,san joaquin,6,77
ca,california,san luis obispo,6,79
ca,california,san mateo,6,81
ca,california,santa barbara,6,83
ca,california,santa clara,6,85
ca,california,santa cruz,6,87
ca,california,shasta,6,89
ca,california,sierra,6,91
ca,california,siskiyou,6,93
ca,california,solano,6,95
ca,california,sonoma,6,97
ca,california,stanislaus,6,99
ca,california,sutter,6,101
ca,california,tehama,6,103
ca,california,trinity,6,105
ca,california,tulare,6,107
ca,california,tuolumne,6,109
ca,california,ventura,6,111
ca,california,yolo,6,113
ca,california,yuba,6,115
co,colorado,adams,8,1
co,colorado,alamosa,8,3
co,colorado,arapahoe,8,5
co,colorado,archuleta,8,7
co,colorado,baca,8,9
co,colorado,bent,8,11
co,colorado,boulder,8,13
co,colorado,broomfield,8,14
co,colorado,chaffee,8,15
co,colorado,cheyenne,8,17
co,colorado,clear creek,8,19
co,colorado,conejos,8,21
co,colorado,costilla,8,23
co,colorado,crowley,8,25
co,colorado,custer,8,27
co,colorado,delta,8,29
co,colorado,denver,8,31
co,colorado,dolores,8,33
co,colorado,douglas,8,35
co,colorado,eagle,8,37
co,colorado,elbert,8,39
co,colorado,el paso,8,41
co,colorado,fremont,8,43
co,colorado,garfield,8,45
co,colorado,gilpin,8,47
co,colorado,grand,8,49
co,colorado,gunnison,8,51
co,colorado,hinsdale,8,53
co,colorado,huerfano,8,55
co,colorado,jackson,8,57
co,colorado,jefferson,8,59
co,colorado,kiowa,8,61
co,colorado,kit carson,8,63
co,colorado,lake,8,65
co,colorado,la plata,8,67
